Date,Open,High,Low,Close,Volume,fng_score,avg_sentiment,news_count,price_change,rsi,volatility_7d,sentiment_sma3,price_change_lag1,sentiment_lag1,Cluster,Risk_Level
2021-11-22,58706.84765625,59266.359375,55679.83984375,56289.2890625,35036121783,50,0.2496708780527115,4,-0.057086538691817235,40.79279328587774,0.037307099932463846,-0.0822756936152776,0.027144333086984274,0.0,0,Low Risk
2021-11-23,56304.5546875,57875.515625,55632.76171875,57569.07421875,37485803899,33,-0.2461833506822586,4,0.022735855747423095,42.70800022221001,0.04038445502548926,0.0011625091234842937,-0.057086538691817235,0.2496708780527115,2,High Risk
2021-11-24,57565.8515625,57803.06640625,55964.22265625,56280.42578125,36635566789,42,-0.0023899078369140625,3,-0.02238438701660228,24.79748187564188,0.03678869082863091,0.00036587317784627277,0.022735855747423095,-0.2461833506822586,0,Low Risk
2021-11-25,57165.41796875,59367.96875,57146.68359375,57274.6796875,34284016248,32,0.19540008902549744,4,0.017666069374003168,28.725619651131936,0.0379578249859041,-0.01772438983122508,-0.02238438701660228,-0.0023899078369140625,2,High Risk
2021-11-26,58960.28515625,59183.48046875,53569.765625,53569.765625,41810748221,47,-0.2489383816719055,4,-0.06468677053655503,26.70078244523816,0.03977179028813789,-0.018642733494440705,0.017666069374003168,0.19540008902549744,0,Low Risk
2021-11-29,57291.90625,58872.87890625,56792.52734375,57806.56640625,32370840356,33,-0.2496888339519501,4,0.07908940298355094,37.559621616260266,0.05125815773109364,-0.10107570886611938,-0.06468677053655503,-0.2489383816719055,2,High Risk
2021-11-30,57830.11328125,59113.40234375,56057.28125,57005.42578125,36708594618,40,0.4756357967853546,4,-0.013858989986877734,37.55030798251728,0.05001416023580756,-0.007663806279500325,0.07908940298355094,-0.2496888339519501,0,Low Risk
2021-12-09,50450.08203125,50797.1640625,47358.3515625,47672.12109375,29603577251,29,0.4908636510372162,4,-0.16372660250473692,25.782939512104264,0.07719847290299318,0.2389368712902069,-0.013858989986877734,0.4756357967853546,2,High Risk
2021-12-10,47642.14453125,50015.25390625,47023.69921875,47243.3046875,30966005122,24,0.7462381571531296,4,-0.00899511908452133,26.865264880768734,0.07512402331681875,0.5709125349919001,-0.16372660250473692,0.4908636510372162,2,High Risk
2021-12-11,47264.6328125,49458.2109375,46942.34765625,49362.5078125,25775869261,16,0.0,1,0.044857216044006165,34.11131174814038,0.07971346269781807,0.4123672693967819,-0.00899511908452133,0.7462381571531296,2,High Risk
2021-12-13,50114.7421875,50205.0,45894.84765625,46737.48046875,32166727776,28,-0.2484401315450668,4,-0.05317856527308096,31.27712052512676,0.07927245609581343,0.1659326752026876,0.044857216044006165,0.0,2,High Risk
2021-12-14,46709.82421875,48431.3984375,46424.49609375,46612.6328125,34638619079,21,0.06578150391578677,4,-0.00267125345649466,34.3963816711463,0.07764909529466588,-0.06088620920976001,-0.05317856527308096,-0.2484401315450668,2,High Risk
2021-12-15,48379.75390625,49473.95703125,46671.96484375,48896.72265625,36541828520,28,0.4995785355567932,4,0.04900151967252708,36.51879841865096,0.07208147010239485,0.10563996930917106,-0.00267125345649466,0.06578150391578677,2,High Risk
2021-12-16,48900.46484375,49425.57421875,47529.87890625,47665.42578125,27268150947,29,0.7479280233383179,4,-0.025181582897818466,32.23308175002127,0.0720156491821043,0.4377626876036326,0.04900151967252708,0.4995785355567932,2,High Risk
2021-12-17,47653.73046875,48004.89453125,45618.21484375,46202.14453125,32902725329,23,-0.24837470054626465,4,-0.030699007215741814,34.1970626699362,0.038303067110616214,0.3330439527829488,-0.025181582897818466,0.7479280233383179,2,High Risk
2021-12-18,46219.25390625,47313.828125,45598.44140625,46848.77734375,26098292690,24,0.0,2,0.013995731563123393,32.865212384516084,0.03877002642155644,0.16651777426401773,-0.030699007215741814,-0.24837470054626465,2,High Risk
2021-12-20,46707.0625,47401.71875,45579.80859375,46880.27734375,30961902129,25,0.0,1,0.0006723761384181959,34.34618785214667,0.03336450490000382,-0.08279156684875488,0.013995731563123393,0.0,0,Low Risk
2021-12-21,46886.078125,49300.91796875,46698.7734375,48936.61328125,27055803928,27,0.0,1,0.04386356169401262,36.5892252901083,0.03099040560123797,0.0,0.0006723761384181959,0.0,0,Low Risk
2021-12-22,48937.09765625,49544.796875,48450.94140625,48628.51171875,24447979559,45,0.0,1,-0.006295931447672265,41.077670112461504,0.031208395953520884,0.0,0.04386356169401262,0.0,0,Low Risk
